prioridad,source_row_number,legajo_canonico,ubicacion,match_method,match_count,confidence,location_verification_status,address_geocode_status,reason
media,119,115,Bolívar N° 790,gru_parc,3,low,review_large_gap,matched_ign,ambiguous_match_by_gru_parc
media,129,126,Avda.Pte. Perón N° 296,gru_parc,1,medium,review_large_gap,matched_ign,unique_match_by_gru_parc
media,131,128,M. Moreno N° 431,gru_parc,1,medium,review_large_gap,matched_ign,unique_match_by_gru_parc
media,168,164,Calle Privada s/N° - Los Bretes,manz_parc,20,low,missing_address_point,no_ign_match,ambiguous_match_by_manz_parc
media,170,166,Primera Junta N° 93 esq Bolivar,gru_parc,3,low,review_large_gap,matched_ign,ambiguous_match_by_gru_parc
media,173,169,Maipú N° 74,gru_parc,1,medium,review_large_gap,matched_ign,unique_match_by_gru_parc
media,177,172,Calle Privada s/Nº - Los Bretes,manz_parc,20,low,missing_address_point,no_ign_match,ambiguous_match_by_manz_parc
media,179,174,Calle Privada s/N° - Los Bretes,manz_parc,17,low,missing_address_point,no_ign_match,ambiguous_match_by_manz_parc
media,187,180,Primera Junta Nº 458,manz_parc,1,medium,review_medium_gap,matched_ign,unique_match_by_manz_parc
media,191,184,Calle Las Moras s/Nº,gru_parc,3,low,missing_address_point,no_ign_match,ambiguous_match_by_gru_parc
media,195,187,Calle Privada s/Nº - Los Bretes,manz_parc,17,low,missing_address_point,no_ign_match,ambiguous_match_by_manz_parc
media,199,190,Paso de los Andes N°2170,gru_parc,3,low,missing_address_point,no_ign_match,ambiguous_match_by_gru_parc
