prioridad,tipo,source_row_number,legajo_canonico,expediente_raw,ubicacion,detalle,subtipo
alta,geolocalizacion,207,197,558709,Chacabuco Nº 292,no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
alta,geolocalizacion,208,198,"mail, 558656","9 de Julio Nº 302, 304, 306, 308, 310, 312 y 314 y Paso de los Andes",no_cadastral_match,sin_match_catastral|match_no_unico|baja_confianza|falta_punto
media,deteccion,2,1,"mail, 548999",Ruta N° 135,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,4,2,547704,Sarmiento Nº 88,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,5,3,549038,"Maipú Nª 525, 529 (antes 535)",Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,6,4,"MAIL, 549161",Camino Bernardino Horne s/N°,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,7,5,549912,9 de Julio N° 68,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,8,6,"mail, 549039",Celia Pellenc N°,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,9,7,"mail, 548921",Calle Chaiñar esq Madres y Abuelas de P. de Mayo,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,11,8,549056,San Martín N° 567 - 571,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,12,9,"MAIL, 548907",Calle Pública s/N°,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,13,10,548969,Laprida N° 227,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,14,11,548366,Gouchón N° 253 esq Sarmiento,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,15,12,"mail, 549456",Urbana 2,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,16,13,548986,"Vieytes Nº 41 esq Gra Urquiza Nº 653, 657, 659",Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,17,14,538380,Laprida N° 122,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,18,15,549618,Chacabico Nº 627,Fecha de ingreso invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,18,15,549618,Chacabico Nº 627,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,19,16,"MAIL, 549504",Peyret N° 210,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,20,17,"mail, 549520",Juan Manuel de Rosas N°,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
media,deteccion,21,18,"mail, 549763",Maipú N° 470,Fecha de visado invalida para formato AR (dd/mm/aaaa).,invalid_ar_date
